market,status,country_code,state_code,region,city,funding_rounds,funding_total_usd,funded_quarter
Software,closed,USA,CA,SF Bay Area,San Jose,1,0,2014-Q2
Analytics,operating,USA,NY,New York City,New York,1,0,2010-Q4
Clean Technology,operating,USA,SC,Myrtle Beach,Conway,1,20900,2014-Q2
Clean Technology,operating,USA,CA,SF Bay Area,Menlo Park,2,1160000,2010-Q4
Hardware + Software,operating,USA,PA,Pittsburgh,Pittsburgh,4,60000000,2014-Q2
Software,operating,USA,NC,Raleigh,Morrisville,1,250000,2012-Q3
Mobile,operating,USA,TX,Dallas,Dallas,1,15000,2013-Q1
Consumer Electronics,operating,USA,FL,Ft. Lauderdale,Fort Lauderdale,1,180000,2011-Q2
Sports,operating,USA,RI,Providence,Johnston,1,0,2014-Q2
Women,operating,USA,CA,SF Bay Area,San Francisco,1,0,2011-Q2
E-Commerce,acquired,USA,CA,SF Bay Area,San Francisco,6,12900000,2011-Q4
Technology,operating,USA,WA,Seattle,Seattle,2,6100000,2011-Q2
Medical,operating,USA,CA,San Diego,Rancho Santa Fe,2,5955000,2011-Q4
Software,operating,USA,CA,Los Angeles,Los Angeles,1,8000000,2011-Q1
Video,acquired,USA,NY,New York City,New York,3,12800000,2014-Q2
Software,operating,USA,CO,Denver,Boulder,1,50000,2014-Q1
Distribution,operating,USA,NY,New York City,New York,1,250000,2011-Q3
Mobile,operating,USA,CA,SF Bay Area,San Francisco,1,7000000,2010-Q3
Mobile Games,operating,USA,CA,Sacramento,Roseville,1,3000000,2014-Q3
Internet Marketing,acquired,USA,WA,Seattle,Seattle,4,17129760,2013-Q4
Curated Web,operating,USA,CA,SF Bay Area,Mountain View,1,100000,2013-Q4
Software,operating,USA,IL,Chicago,Chicago,3,3050000,2010-Q1
Web Hosting,operating,USA,CA,SF Bay Area,San Francisco,1,2000000,2013-Q3
Enterprise Software,operating,USA,NC,Raleigh,Raleigh,5,25250000,2013-Q3
Software,acquired,USA,NC,Raleigh,Morrisville,2,6700000,2011-Q2
E-Commerce,closed,USA,TX,Austin,Austin,3,6528902,2014-Q3
Health and Wellness,operating,USA,VA,Norfolk - Virginia Beach,Virginia Beach,2,0,2014-Q4
Biotechnology,operating,USA,SC,Greenville - Spartanburg,Easley,1,1613014,2010-Q2
Games,operating,USA,FL,Ft. Lauderdale,Pompano Beach,1,10000000,2010-Q1
Small and Medium Businesses,operating,USA,FL,Ft. Lauderdale,Fort Lauderdale,5,2450000,2010-Q3
Manufacturing,operating,USA,TX,Houston,Pearland,1,1500000,2013-Q3
Software,operating,USA,WA,Seattle,Seattle,2,460775,2010-Q2
Web Hosting,operating,USA,OH,Akron - Canton,Akron,4,9850000,2011-Q1
Social Media,closed,CAN,ON,Toronto,Toronto,1,2100000,2014-Q4
E-Commerce,operating,USA,MD,"Washington, D.C.",Southern Md Facility,1,100000,2011-Q2
Curated Web,operating,USA,CA,SF Bay Area,San Francisco,1,0,2013-Q1
Health and Wellness,operating,USA,CA,Anaheim,Newport Beach,1,5100000,2011-Q4
Virtual Worlds,closed,USA,MA,Boston,Woburn,2,12250000,2014-Q4
Clean Technology,operating,USA,CA,Sacramento,Folsom,1,30000000,2010-Q1
Fashion,operating,USA,CA,Los Angeles,Los Angeles,1,0,2013-Q1
E-Commerce,acquired,USA,MN,Minneapolis,Minneapolis,3,15590000,2012-Q4
Music,operating,USA,CA,SF Bay Area,San Francisco,2,2779980,2013-Q1
Telecommunications,acquired,USA,CA,SF Bay Area,San Jose,1,30608728,2012-Q1
Consulting,operating,USA,CA,SF Bay Area,Menlo Park,2,4500000,2011-Q3
Manufacturing,operating,USA,MA,Boston,Boston,3,17700000,2013-Q2
Design,operating,USA,CA,SF Bay Area,San Francisco,1,35000000,2012-Q2
Enterprise Software,operating,USA,WA,Seattle,Redmond,2,925000,2013-Q4
Software,operating,USA,TX,Austin,Austin,1,435400,2012-Q3
Mobile Payments,operating,USA,NM,Albuquerque,Albuquerque,1,3500000,2014-Q1
Travel & Tourism,operating,USA,CA,Los Angeles,Los Angeles,1,0,2010-Q4
Health and Wellness,operating,USA,CA,Ontario - Inland Empire,Murrieta,1,0,2012-Q2
Water Purification,operating,USA,WI,Milwaukee,New Berlin,1,110000000,2014-Q2
Consulting,operating,USA,CO,Denver,Lakewood,1,0,2011-Q3
Biotechnology,operating,USA,MD,Baltimore,Columbia,2,2100002,2013-Q2
Health and Wellness,operating,USA,MN,Minneapolis,Minnetonka,1,250000,2010-Q4
News,operating,USA,CA,Los Angeles,Los Angeles,1,0,2013-Q4
Business Productivity,operating,USA,GA,Atlanta,Atlanta,1,20000,2014-Q1
Biotechnology,operating,USA,NC,"Wilmington - Cape Fear, North Carolina",Wilmington,1,20000000,2013-Q4
Music,operating,USA,FL,Ft. Lauderdale,Hollywood,1,350000,2014-Q1
Biotechnology,closed,USA,IN,Indianapolis,Indianapolis,1,500000,2011-Q2
Search,acquired,USA,CA,SF Bay Area,San Francisco,2,6000000,2014-Q4
Human Resources,operating,USA,IL,Chicago,Naperville,1,20000000,2012-Q2
Biotechnology,operating,USA,MI,Detroit,Ann Arbor,1,40000000,2011-Q4
Health Care Information Technology,operating,USA,MA,Boston,Boston,1,0,2012-Q2
Real Estate,operating,USA,FL,Gainesville,Inverness,1,0,2012-Q3
Software,operating,USA,NY,New York City,New York,1,3500000,2011-Q2
Clean Technology,operating,USA,FL,Miami,Miami,6,4211031,2010-Q2
Financial Services,operating,USA,MI,Detroit,Bloomfield Hills,1,0,2013-Q2
Biotechnology,operating,CAN,BC,Vancouver,Vancouver,3,400988,2014-Q2
E-Commerce,operating,USA,NY,New York City,New York,5,875000,2011-Q3
Health and Wellness,operating,USA,IL,Chicago,Des Plaines,2,6790000,2012-Q3
E-Commerce,operating,USA,IL,Chicago,Chicago,5,19148000,2013-Q1
Medical,operating,USA,TX,Dallas,Richardson,1,0,2013-Q3
Biotechnology,operating,USA,CA,SF Bay Area,Los Altos,3,39610000,2014-Q2
Biotechnology,operating,USA,NJ,Newark,Princeton,1,2250180,2014-Q4
Fashion,operating,USA,NY,New York City,New York,1,60000,2010-Q1
Health Care,operating,USA,MN,Minneapolis,Minneapolis,4,583000000,2013-Q1
Health Care,operating,USA,NY,New York City,New York,2,9000000,2011-Q2
Curated Web,operating,USA,MA,Boston,Boston,1,6467283,2011-Q4
Fitness,operating,USA,CA,SF Bay Area,San Francisco,1,0,2011-Q4
Cloud Infrastructure,operating,USA,CA,SF Bay Area,Redwood City,4,14130737,2011-Q4
Accounting,operating,USA,IL,Chicago,Evanston,1,500000,2013-Q4
M2M,operating,USA,NC,Raleigh,Raleigh,1,50000,2011-Q3
Health and Wellness,operating,USA,NJ,Philadelphia,Cherry Hill,1,500000,2013-Q4
Hardware + Software,operating,USA,CO,Denver,Wheat Ridge,5,12005448,2013-Q3
Software,operating,USA,CA,SF Bay Area,Mountain View,1,1273000,2011-Q3
Enterprise Software,operating,USA,TX,TX - Other,Italy,1,1000000,2014-Q3
Solar,operating,USA,CO,CO - Other,Loveland,2,510000000,2014-Q1
Identity Management,operating,USA,CA,SF Bay Area,San Francisco,3,17087500,2010-Q2
Curated Web,operating,USA,PA,Philadelphia,Paoli,5,4139407,2014-Q3
Business Services,operating,USA,OH,"Columbus, Ohio",Columbus,1,0,2013-Q1
Software,operating,USA,CA,SF Bay Area,Redwood City,1,2100000,2014-Q3
Software,operating,USA,MA,Boston,Lexington,1,450000,2014-Q4
Education,operating,USA,MA,Boston,Boston,1,50000,2014-Q3
Software,operating,USA,CO,Denver,Littleton,3,2757346,2014-Q4
Clean Technology,operating,USA,OH,Akron - Canton,Wooster,2,4250000,2014-Q1
Software,operating,USA,RI,Providence,Providence,1,200000,2012-Q2
Biotechnology,operating,USA,CA,Anaheim,Huntington Beach,1,1200000,2010-Q2
Health Care,operating,USA,TN,Knoxville,Knoxville,10,28364818,2013-Q2
Apps,operating,USA,TN,Nashville,Nashville,1,15000,2012-Q1
Web Hosting,operating,USA,MA,Boston,Maynard,2,23000000,2013-Q4
Finance,operating,USA,CA,Anaheim,Newport Beach,2,244600000,2012-Q1
Social Media,operating,USA,CA,SF Bay Area,San Francisco,4,17800000,2011-Q1
Video,acquired,USA,CA,SF Bay Area,San Francisco,1,0,2011-Q2
Advertising,operating,USA,CA,SF Bay Area,Mountain View,1,10000000,2014-Q3
Health Care,operating,USA,CA,San Diego,San Diego,2,101385000,2010-Q3
Finance,operating,USA,MA,Boston,Pembroke,1,4000000,2012-Q1
Mobile,operating,CAN,QC,Montreal,MontrŽal,3,31040000,2014-Q3
Software,operating,USA,CA,SF Bay Area,San Ramon,2,50000000,2013-Q4
Biotechnology,operating,USA,CA,SF Bay Area,Menlo Park,1,430000,2012-Q4
